PK,Product,Quantity,yymm
1291,B802,0,202011
1292,B806,32,202011
1293,B807,0,202011
1294,B808,0,202011
1295,B809,703,202011
1296,B810,355,202011
1297,B811,0,202011
1298,B812,379,202011
1299,B813,586,202011
1300,B814,3326,202011
1301,B815,891,202011
1302,B816,0,202011
1303,B817,0,202011
1304,B818,0,202011
1305,B819,0,202011
1306,B820,0,202011
1307,B821,0,202011
1308,B822,0,202011
1309,B823,0,202011
1310,B824,0,202011
1311,B825,146,202011
1312,B826,0,202011
1313,B827,0,202011
1314,B828,0,202011
1315,B829,0,202011
1316,B830,0,202011
1317,B831,0,202011
1318,B832,0,202011
1319,B833,0,202011
1320,B834,0,202011
1321,B835,231,202011
1322,B836,97,202011
1323,B837,0,202011
1324,B838,0,202011
1325,B844,0,202011
1326,B845,0,202011
1327,B846,0,202011
1328,B849,24,202011
1329,B850,0,202011
1330,B851,0,202011
1331,B918,1240,202011
1332,B919,4390,202011
1333,B920,1140,202011
1334,B924,510,202011
1335,B925,1660,202011
1336,B928,247,202011
1337,B930,0,202011
1338,B931,0,202011
1339,B933,0,202011
